Unnamed: 0,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
160442,FUTSTK,BAJAJ-AUTO,31-Oct-2019,0.0,XX,2520.0,2570.0,2515.0,2567.2,2567.2,4.0,25.42,1250.0,750.0,01-AUG-2019
160443,FUTSTK,BAJAJFINSV,29-Aug-2019,0.0,XX,7066.35,7202.85,7000.4,7117.75,7117.75,3881.0,34562.81,899500.0,2250.0,01-AUG-2019
160444,FUTSTK,BAJAJFINSV,26-Sep-2019,0.0,XX,7157.9,7248.2,7046.95,7146.75,7146.75,40.0,358.55,4500.0,250.0,01-AUG-2019
160445,FUTSTK,BAJAJFINSV,31-Oct-2019,0.0,XX,0.0,0.0,0.0,7200.0,7198.75,0.0,0.0,250.0,0.0,01-AUG-2019
160446,FUTSTK,BAJFINANCE,29-Aug-2019,0.0,XX,3240.05,3271.25,3182.45,3237.85,3237.85,17147.0,138663.53,6601500.0,-256250.0,01-AUG-2019
160447,FUTSTK,BAJFINANCE,26-Sep-2019,0.0,XX,3256.1,3279.05,3200.0,3255.1,3255.1,203.0,1649.11,67000.0,-500.0,01-AUG-2019
160448,FUTSTK,BAJFINANCE,31-Oct-2019,0.0,XX,0.0,0.0,0.0,3299.1,3275.25,0.0,0.0,750.0,0.0,01-AUG-2019
160449,FUTSTK,BALKRISIND,29-Aug-2019,0.0,XX,690.05,701.4,684.0,698.35,698.35,1363.0,7556.41,1885600.0,-36000.0,01-AUG-2019
160450,FUTSTK,BALKRISIND,26-Sep-2019,0.0,XX,697.4,703.25,686.65,691.45,711.55,11.0,60.79,52800.0,4000.0,01-AUG-2019
160451,FUTSTK,BALKRISIND,31-Oct-2019,0.0,XX,0.0,0.0,0.0,738.25,716.05,0.0,0.0,0.0,0.0,01-AUG-2019
160452,FUTSTK,BANKBARODA,29-Aug-2019,0.0,XX,106.25,107.7,103.0,105.75,105.75,7488.0,35614.94,55881000.0,180000.0,01-AUG-2019
160453,FUTSTK,BANKBARODA,26-Sep-2019,0.0,XX,105.65,107.75,103.7,106.3,106.3,221.0,1054.93,994500.0,18000.0,01-AUG-2019
160454,FUTSTK,BANKBARODA,31-Oct-2019,0.0,XX,106.5,106.5,105.0,105.55,107.3,5.0,23.77,58500.0,13500.0,01-AUG-2019
160455,FUTSTK,BANKINDIA,29-Aug-2019,0.0,XX,70.65,71.95,68.6,69.8,69.8,3604.0,15152.05,32088000.0,1884000.0,01-AUG-2019
160456,FUTSTK,BANKINDIA,26-Sep-2019,0.0,XX,71.35,72.15,69.0,69.95,69.95,185.0,776.5,1446000.0,210000.0,01-AUG-2019
160457,FUTSTK,BANKINDIA,31-Oct-2019,0.0,XX,71.1,71.1,70.25,70.25,71.4,6.0,25.34,48000.0,36000.0,01-AUG-2019
160458,FUTSTK,BATAINDIA,29-Aug-2019,0.0,XX,1307.0,1318.6,1296.35,1301.85,1301.85,3657.0,26288.5,2471700.0,-31350.0,01-AUG-2019
160459,FUTSTK,BATAINDIA,26-Sep-2019,0.0,XX,1313.45,1317.4,1303.0,1308.75,1315.05,8.0,57.7,7150.0,550.0,01-AUG-2019
160460,FUTSTK,BATAINDIA,31-Oct-2019,0.0,XX,0.0,0.0,0.0,1324.75,1323.35,0.0,0.0,0.0,0.0,01-AUG-2019
160461,FUTSTK,BEL,29-Aug-2019,0.0,XX,100.1,100.55,95.65,97.75,97.75,3866.0,22754.68,36324000.0,-246000.0,01-AUG-2019
160462,FUTSTK,BEL,26-Sep-2019,0.0,XX,99.5,100.5,96.1,97.8,97.8,164.0,965.74,2652000.0,-96000.0,01-AUG-2019
160463,FUTSTK,BEL,31-Oct-2019,0.0,XX,0.0,0.0,0.0,100.95,100.4,0.0,0.0,0.0,0.0,01-AUG-2019
160464,FUTSTK,BERGEPAINT,29-Aug-2019,0.0,XX,329.0,333.2,327.6,332.3,332.3,806.0,5871.69,2083400.0,-4400.0,01-AUG-2019
160465,FUTSTK,BERGEPAINT,26-Sep-2019,0.0,XX,330.6,330.6,329.05,330.5,330.5,7.0,50.83,55000.0,-6600.0,01-AUG-2019
160466,FUTSTK,BERGEPAINT,31-Oct-2019,0.0,XX,0.0,0.0,0.0,332.95,337.0,0.0,0.0,0.0,0.0,01-AUG-2019
160467,FUTSTK,BHARATFORG,29-Aug-2019,0.0,XX,418.6,424.9,415.65,421.3,421.3,1562.0,7871.34,7933200.0,-126000.0,01-AUG-2019
160468,FUTSTK,BHARATFORG,26-Sep-2019,0.0,XX,420.4,425.7,418.2,422.7,422.7,46.0,232.92,81600.0,19200.0,01-AUG-2019
160469,FUTSTK,BHARATFORG,31-Oct-2019,0.0,XX,0.0,0.0,0.0,436.0,427.15,0.0,0.0,0.0,0.0,01-AUG-2019
160470,FUTSTK,BHARTIARTL,29-Aug-2019,0.0,XX,336.5,339.2,322.7,324.55,324.55,10190.0,62211.58,32483199.0,-592320.0,01-AUG-2019
160471,FUTSTK,BHARTIARTL,26-Sep-2019,0.0,XX,335.15,340.4,324.85,326.3,326.3,138.0,845.86,120315.0,35169.0,01-AUG-2019
160472,FUTSTK,BHARTIARTL,31-Oct-2019,0.0,XX,338.15,339.0,326.8,329.05,329.05,5.0,30.92,7404.0,0.0,01-AUG-2019
160473,FUTSTK,BHEL,29-Aug-2019,0.0,XX,58.4,59.35,56.8,57.9,57.9,1675.0,7286.08,44325000.0,1462500.0,01-AUG-2019
160474,FUTSTK,BHEL,26-Sep-2019,0.0,XX,57.85,58.5,55.95,57.0,57.0,236.0,1008.57,5055000.0,795000.0,01-AUG-2019
160475,FUTSTK,BHEL,31-Oct-2019,0.0,XX,58.4,58.4,56.65,56.65,58.5,7.0,30.12,397500.0,30000.0,01-AUG-2019
160476,FUTSTK,BIOCON,29-Aug-2019,0.0,XX,225.35,227.1,222.0,224.6,224.6,2704.0,10918.09,11851200.0,-302400.0,01-AUG-2019
160477,FUTSTK,BIOCON,26-Sep-2019,0.0,XX,226.2,227.0,223.5,225.85,225.85,49.0,198.82,754200.0,7200.0,01-AUG-2019
160478,FUTSTK,BIOCON,31-Oct-2019,0.0,XX,225.9,225.9,225.45,225.45,227.25,2.0,8.12,3600.0,1800.0,01-AUG-2019
160479,FUTSTK,BOSCHLTD,29-Aug-2019,0.0,XX,14230.0,14634.35,14209.75,14586.6,14586.6,679.0,2955.13,164220.0,-480.0,01-AUG-2019
160480,FUTSTK,BOSCHLTD,26-Sep-2019,0.0,XX,14570.35,14570.35,14534.75,14534.75,14790.85,5.0,21.84,1350.0,-30.0,01-AUG-2019
160481,FUTSTK,BOSCHLTD,31-Oct-2019,0.0,XX,0.0,0.0,0.0,15272.75,14884.15,0.0,0.0,0.0,0.0,01-AUG-2019
160482,FUTSTK,BPCL,29-Aug-2019,0.0,XX,335.55,338.6,332.4,336.65,336.65,2425.0,14651.46,13174200.0,-66600.0,01-AUG-2019
160483,FUTSTK,BPCL,26-Sep-2019,0.0,XX,337.55,338.75,334.25,336.7,347.15,23.0,139.61,100800.0,0.0,01-AUG-2019
160484,FUTSTK,BPCL,31-Oct-2019,0.0,XX,0.0,0.0,0.0,346.45,349.35,0.0,0.0,0.0,0.0,01-AUG-2019
160485,FUTSTK,BRITANNIA,29-Aug-2019,0.0,XX,2585.0,2617.05,2570.95,2600.85,2600.85,2745.0,14237.02,2257200.0,-3800.0,01-AUG-2019
160486,FUTSTK,BRITANNIA,26-Sep-2019,0.0,XX,2601.5,2616.15,2585.05,2608.5,2608.5,33.0,171.7,24600.0,2600.0,01-AUG-2019
160487,FUTSTK,BRITANNIA,31-Oct-2019,0.0,XX,0.0,0.0,0.0,2614.35,2643.8,0.0,0.0,1000.0,0.0,01-AUG-2019
160488,FUTSTK,BSOFT,29-Aug-2019,0.0,XX,74.75,76.8,74.75,75.7,75.7,279.0,1079.22,2499000.0,270300.0,01-AUG-2019
160489,FUTSTK,BSOFT,26-Sep-2019,0.0,XX,0.0,0.0,0.0,74.75,76.15,0.0,0.0,61200.0,0.0,01-AUG-2019
160490,FUTSTK,CADILAHC,29-Aug-2019,0.0,XX,229.9,230.0,222.4,226.85,226.85,1609.0,5809.23,13590400.0,-212800.0,01-AUG-2019
160491,FUTSTK,CADILAHC,26-Sep-2019,0.0,XX,228.5,228.9,226.5,227.55,227.55,20.0,72.94,100800.0,19200.0,01-AUG-2019
160492,FUTSTK,CADILAHC,31-Oct-2019,0.0,XX,0.0,0.0,0.0,234.35,230.05,0.0,0.0,0.0,0.0,01-AUG-2019
160493,FUTSTK,CANBK,29-Aug-2019,0.0,XX,234.05,237.55,227.15,230.55,230.55,5598.0,25949.67,9672000.0,-62000.0,01-AUG-2019
160494,FUTSTK,CANBK,26-Sep-2019,0.0,XX,235.1,238.0,228.0,231.45,231.45,144.0,669.97,338000.0,12000.0,01-AUG-2019
160495,FUTSTK,CANBK,31-Oct-2019,0.0,XX,234.85,235.7,229.0,230.6,230.6,8.0,37.19,12000.0,6000.0,01-AUG-2019
160496,FUTSTK,CASTROLIND,29-Aug-2019,0.0,XX,118.7,121.0,115.45,116.2,116.2,772.0,3092.79,8462600.0,187000.0,01-AUG-2019
160497,FUTSTK,CASTROLIND,26-Sep-2019,0.0,XX,120.0,121.35,116.4,116.4,116.4,19.0,76.63,204000.0,27200.0,01-AUG-2019
160498,FUTSTK,CASTROLIND,31-Oct-2019,0.0,XX,120.0,120.0,117.0,117.05,117.05,3.0,12.03,17000.0,3400.0,01-AUG-2019
160499,FUTSTK,CENTURYTEX,29-Aug-2019,0.0,XX,888.05,899.5,868.4,877.75,877.75,2341.0,12370.35,3831000.0,14400.0,01-AUG-2019
160500,FUTSTK,CENTURYTEX,26-Sep-2019,0.0,XX,887.1,887.15,878.3,879.35,879.35,11.0,58.18,20400.0,600.0,01-AUG-2019
160501,FUTSTK,CENTURYTEX,31-Oct-2019,0.0,XX,0.0,0.0,0.0,908.0,893.4,0.0,0.0,0.0,0.0,01-AUG-2019
160502,FUTSTK,CESC,29-Aug-2019,0.0,XX,743.1,752.05,731.45,749.35,749.35,762.0,4539.49,921600.0,-8000.0,01-AUG-2019
160503,FUTSTK,CESC,26-Sep-2019,0.0,XX,748.0,748.0,734.7,748.0,756.4,3.0,17.84,6400.0,800.0,01-AUG-2019
160504,FUTSTK,CESC,31-Oct-2019,0.0,XX,0.0,0.0,0.0,773.95,761.15,0.0,0.0,0.0,0.0,01-AUG-2019
160505,FUTSTK,CHOLAFIN,29-Aug-2019,0.0,XX,257.5,265.3,257.0,258.3,258.3,2585.0,16882.79,3637500.0,160000.0,01-AUG-2019
160506,FUTSTK,CHOLAFIN,26-Sep-2019,0.0,XX,259.1,264.0,259.05,264.0,262.25,6.0,39.04,27500.0,5000.0,01-AUG-2019
160507,FUTSTK,CHOLAFIN,31-Oct-2019,0.0,XX,0.0,0.0,0.0,253.55,263.9,0.0,0.0,0.0,0.0,01-AUG-2019
160508,FUTSTK,CIPLA,29-Aug-2019,0.0,XX,517.35,520.3,510.5,514.95,514.95,1907.0,9807.02,12143000.0,-173000.0,01-AUG-2019
160509,FUTSTK,CIPLA,26-Sep-2019,0.0,XX,516.95,519.7,513.2,517.25,517.25,35.0,180.58,33000.0,-1000.0,01-AUG-2019
160510,FUTSTK,CIPLA,31-Oct-2019,0.0,XX,0.0,0.0,0.0,546.35,520.9,0.0,0.0,0.0,0.0,01-AUG-2019
160511,FUTSTK,COALINDIA,29-Aug-2019,0.0,XX,204.7,205.15,200.95,203.15,203.15,3164.0,14123.26,37208600.0,-838200.0,01-AUG-2019
160512,FUTSTK,COALINDIA,26-Sep-2019,0.0,XX,204.6,204.85,202.0,204.15,204.15,58.0,260.02,299200.0,8800.0,01-AUG-2019
160513,FUTSTK,COALINDIA,31-Oct-2019,0.0,XX,204.55,204.55,203.0,203.0,205.8,2.0,8.96,26400.0,4400.0,01-AUG-2019
160514,FUTSTK,COLPAL,29-Aug-2019,0.0,XX,1180.0,1190.2,1176.0,1184.4,1184.4,783.0,6483.24,1975400.0,22400.0,01-AUG-2019
160515,FUTSTK,COLPAL,26-Sep-2019,0.0,XX,1181.9,1185.05,1179.0,1179.0,1195.1,11.0,91.05,13300.0,2800.0,01-AUG-2019
160516,FUTSTK,COLPAL,31-Oct-2019,0.0,XX,0.0,0.0,0.0,1163.95,1202.65,0.0,0.0,0.0,0.0,01-AUG-2019
160517,FUTSTK,CONCOR,29-Aug-2019,0.0,XX,496.0,515.65,496.0,511.0,511.0,1223.0,9699.87,2085042.0,-103158.0,01-AUG-2019
160518,FUTSTK,CONCOR,26-Sep-2019,0.0,XX,504.8,504.8,504.8,510.6,510.6,9.0,71.59,25008.0,12504.0,01-AUG-2019
160519,FUTSTK,CONCOR,31-Oct-2019,0.0,XX,0.0,0.0,0.0,537.55,523.95,0.0,0.0,0.0,0.0,01-AUG-2019
160520,FUTSTK,CUMMINSIND,29-Aug-2019,0.0,XX,703.65,709.0,684.4,691.1,691.1,754.0,3661.56,1954400.0,14700.0,01-AUG-2019
160521,FUTSTK,CUMMINSIND,26-Sep-2019,0.0,XX,697.6,697.6,672.1,676.25,676.25,28.0,134.24,112000.0,-9100.0,01-AUG-2019
160522,FUTSTK,CUMMINSIND,31-Oct-2019,0.0,XX,0.0,0.0,0.0,675.05,704.8,0.0,0.0,2800.0,0.0,01-AUG-2019
160523,FUTSTK,DABUR,29-Aug-2019,0.0,XX,422.6,428.35,422.1,426.1,426.1,1801.0,9591.02,13326250.0,126250.0,01-AUG-2019
160524,FUTSTK,DABUR,26-Sep-2019,0.0,XX,427.3,429.75,427.0,427.05,427.05,16.0,85.61,55000.0,-1250.0,01-AUG-2019
160525,FUTSTK,DABUR,31-Oct-2019,0.0,XX,0.0,0.0,0.0,430.5,432.45,0.0,0.0,0.0,0.0,01-AUG-2019
160526,FUTSTK,DHFL,29-Aug-2019,0.0,XX,43.3,44.45,40.75,42.4,42.4,1426.0,2424.01,16124000.0,224000.0,01-AUG-2019
160527,FUTSTK,DHFL,26-Sep-2019,0.0,XX,39.8,40.65,37.5,38.75,38.75,83.0,129.73,1024000.0,132000.0,01-AUG-2019
160528,FUTSTK,DISHTV,29-Aug-2019,0.0,XX,26.95,27.55,25.35,25.85,25.85,2385.0,8756.72,105560000.0,-224000.0,01-AUG-2019
160529,FUTSTK,DISHTV,26-Sep-2019,0.0,XX,26.55,27.65,25.9,25.95,25.95,28.0,102.8,364000.0,14000.0,01-AUG-2019
160530,FUTSTK,DISHTV,31-Oct-2019,0.0,XX,0.0,0.0,0.0,32.85,26.15,0.0,0.0,0.0,0.0,01-AUG-2019
160531,FUTSTK,DIVISLAB,29-Aug-2019,0.0,XX,1688.25,1688.25,1590.0,1608.1,1608.1,1806.0,11628.17,2666800.0,-24000.0,01-AUG-2019
160532,FUTSTK,DIVISLAB,26-Sep-2019,0.0,XX,1637.95,1637.95,1603.0,1603.0,1631.7,15.0,96.95,65200.0,400.0,01-AUG-2019
160533,FUTSTK,DIVISLAB,31-Oct-2019,0.0,XX,1613.5,1618.0,1610.3,1610.35,1642.0,4.0,25.8,4000.0,1600.0,01-AUG-2019
160534,FUTSTK,DLF,29-Aug-2019,0.0,XX,176.9,177.95,170.55,173.45,173.45,6813.0,33089.9,36117200.0,386400.0,01-AUG-2019
160535,FUTSTK,DLF,26-Sep-2019,0.0,XX,178.0,178.45,171.6,174.45,174.45,112.0,545.75,610400.0,30800.0,01-AUG-2019
160536,FUTSTK,DLF,31-Oct-2019,0.0,XX,179.35,179.35,179.35,179.35,175.25,2.0,10.04,16800.0,2800.0,01-AUG-2019
160537,FUTSTK,DRREDDY,29-Aug-2019,0.0,XX,2584.95,2585.0,2505.0,2548.3,2548.3,5589.0,35444.77,3391750.0,-40500.0,01-AUG-2019
160538,FUTSTK,DRREDDY,26-Sep-2019,0.0,XX,2581.0,2581.0,2519.35,2563.05,2563.05,84.0,534.75,28750.0,-3250.0,01-AUG-2019
160539,FUTSTK,DRREDDY,31-Oct-2019,0.0,XX,0.0,0.0,0.0,2701.95,2575.55,0.0,0.0,0.0,0.0,01-AUG-2019
160540,FUTSTK,EICHERMOT,29-Aug-2019,0.0,XX,15923.8,16597.0,15779.0,16450.6,16450.6,12381.0,50475.52,413675.0,12275.0,01-AUG-2019
160541,FUTSTK,EICHERMOT,26-Sep-2019,0.0,XX,15815.95,16634.1,15815.95,16542.2,16542.2,120.0,492.19,9600.0,-175.0,01-AUG-2019
160542,FUTSTK,EICHERMOT,31-Oct-2019,0.0,XX,15890.0,15890.0,15890.0,15890.0,16835.9,1.0,3.97,75.0,25.0,01-AUG-2019
160543,FUTSTK,ENGINERSIN,29-Aug-2019,0.0,XX,100.5,101.1,96.5,98.1,98.1,692.0,3146.94,6596400.0,-225400.0,01-AUG-2019
160544,FUTSTK,ENGINERSIN,26-Sep-2019,0.0,XX,99.95,100.5,96.8,98.0,98.0,16.0,72.69,303600.0,18400.0,01-AUG-2019
160545,FUTSTK,EQUITAS,29-Aug-2019,0.0,XX,114.1,116.4,112.15,115.0,115.0,1989.0,9127.68,14424000.0,396000.0,01-AUG-2019
160546,FUTSTK,EQUITAS,26-Sep-2019,0.0,XX,115.55,116.4,113.25,115.3,115.3,19.0,87.61,148000.0,-20000.0,01-AUG-2019
160547,FUTSTK,EQUITAS,31-Oct-2019,0.0,XX,0.0,0.0,0.0,114.45,116.4,0.0,0.0,4000.0,0.0,01-AUG-2019
160548,FUTSTK,ESCORTS,29-Aug-2019,0.0,XX,459.8,470.4,453.05,461.95,461.95,4512.0,22894.34,5548400.0,6600.0,01-AUG-2019
160549,FUTSTK,ESCORTS,26-Sep-2019,0.0,XX,462.75,468.4,456.75,464.05,464.05,73.0,371.35,96800.0,8800.0,01-AUG-2019
160550,FUTSTK,ESCORTS,31-Oct-2019,0.0,XX,464.6,464.6,464.6,464.6,464.6,1.0,5.11,2200.0,1100.0,01-AUG-2019
160551,FUTSTK,EXIDEIND,29-Aug-2019,0.0,XX,183.75,185.65,181.0,182.95,182.95,999.0,4390.95,8520000.0,-55200.0,01-AUG-2019
160552,FUTSTK,EXIDEIND,26-Sep-2019,0.0,XX,185.1,185.1,183.0,183.0,184.1,6.0,26.52,120000.0,4800.0,01-AUG-2019
160553,FUTSTK,EXIDEIND,31-Oct-2019,0.0,XX,0.0,0.0,0.0,184.7,185.3,0.0,0.0,0.0,0.0,01-AUG-2019
160554,FUTSTK,FEDERALBNK,29-Aug-2019,0.0,XX,92.7,92.7,88.2,90.0,90.0,3240.0,20479.64,37667000.0,1834000.0,01-AUG-2019
160555,FUTSTK,FEDERALBNK,26-Sep-2019,0.0,XX,92.3,92.4,88.7,90.45,90.45,167.0,1058.79,1673000.0,315000.0,01-AUG-2019
160556,FUTSTK,FEDERALBNK,31-Oct-2019,0.0,XX,91.8,91.8,90.25,90.85,90.85,4.0,25.52,28000.0,21000.0,01-AUG-2019
160557,FUTSTK,GAIL,29-Aug-2019,0.0,XX,128.5,130.8,125.55,128.15,128.15,2325.0,15938.57,38735508.0,-74676.0,01-AUG-2019
160558,FUTSTK,GAIL,26-Sep-2019,0.0,XX,129.1,130.95,127.1,128.55,128.55,40.0,276.66,912114.0,48006.0,01-AUG-2019
